time,open,high,low,close,"Pattern Alert",Volume
1750626000,0.93598,0.93598,0.93548,0.93551,0,15
1750626300,0.93551,0.9373,0.93551,0.9373,0,172
1750626600,0.9373,0.93756,0.93706,0.93746,0,189
1750626900,0.93746,0.93775,0.93712,0.93712,0,93
1750627200,0.93712,0.93765,0.93677,0.93729,0,165
1750627500,0.93729,0.93735,0.93708,0.93719,0,52
1750628400,0.93719,0.93719,0.93607,0.93652,0,77
1750628700,0.93652,0.93672,0.93625,0.93647,0,24
1750629000,0.93647,0.93675,0.93644,0.93645,0,92
1750629300,0.93645,0.93677,0.93645,0.93677,0,7
1750629600,0.93677,0.939,0.93677,0.9385,0,1014
1750629900,0.9385,0.93915,0.93809,0.93903,0,950
1750630200,0.93903,0.93952,0.93903,0.93925,0,994
1750630500,0.93925,0.93931,0.93884,0.93904,0,1521
1750630800,0.93904,0.93913,0.93885,0.93902,0,1047
1750631100,0.93902,0.93915,0.93878,0.93912,0,1334
1750631400,0.93912,0.93971,0.93909,0.93953,0,1275
1750631700,0.93953,0.94003,0.93953,0.93996,0,801
1750632000,0.93996,0.94014,0.93996,0.94012,0,603
1750632300,0.94012,0.94024,0.94004,0.94014,0,583
1750632600,0.94014,0.94017,0.93996,0.94005,0,639
1750632900,0.94005,0.94007,0.93991,0.94,0,541
1750633200,0.94,0.94005,0.93986,0.93998,0,898
1750633500,0.93998,0.9401,0.93995,0.94006,0,774
1750633800,0.94006,0.94021,0.94001,0.94015,0,1149
1750634100,0.94015,0.94032,0.94004,0.9403,0,988
1750634400,0.9403,0.94034,0.94015,0.94029,0,864
1750634700,0.94029,0.94037,0.94013,0.94021,0,786
1750635000,0.94021,0.94045,0.9402,0.94032,0,1210
1750635300,0.94032,0.94048,0.94025,0.94039,0,809
1750635600,0.94039,0.94047,0.94035,0.94041,0,768
1750635900,0.94041,0.94043,0.94033,0.94042,0,834
1750636200,0.94042,0.94047,0.94038,0.94042,0,867
1750636500,0.94042,0.94044,0.94035,0.94038,0,1188
1750636800,0.94038,0.94046,0.94028,0.94033,0,2190
1750637100,0.94033,0.9404,0.94023,0.94038,0,1629
1750637400,0.94038,0.94043,0.9403,0.9404,0,1462
1750637700,0.9404,0.94057,0.94035,0.94057,0,1352
1750638000,0.94057,0.94064,0.94045,0.94062,0,1902
1750638300,0.94062,0.94086,0.9406,0.94084,0,1318
1750638600,0.94084,0.94087,0.94065,0.94066,0,1945
1750638900,0.94066,0.94093,0.94065,0.94085,1,1436
1750639200,0.94085,0.94091,0.94059,0.94064,0,1227
1750639500,0.94064,0.94072,0.94048,0.94049,0,1071
1750639800,0.94049,0.9405,0.94023,0.94034,0,1312
1750640100,0.94034,0.94051,0.94033,0.94045,0,1112
1750640400,0.94045,0.94054,0.94021,0.94022,0,1089
1750640700,0.94022,0.94028,0.94007,0.9402,0,850
1750641000,0.9402,0.94026,0.93992,0.93995,0,1184
1750641300,0.93995,0.94003,0.93989,0.93991,0,892
1750641600,0.93991,0.94004,0.93988,0.93993,0,608
